Student B Actuator Log - 20250528_173722
Time	Filtered	Action	Latency(ms)
1748425048704.000	51.51	-70.00	0.03
1748425048720.000	61.88	-80.93	0.02
1748425048736.000	69.57	-88.55	0.02
1748425048752.000	78.51	-97.91	0.03
1748425048767.000	75.17	-93.59	0.02
1748425048772.000	67.80	-85.99	0.02
1748425048785.000	65.22	-84.04	0.02
1748425048801.000	67.00	-86.43	0.02
1748425048817.000	62.49	-81.42	0.02
1748425048833.000	70.78	-91.19	0.03
1748425048849.000	70.19	-89.92	0.02
1748425048864.000	62.91	-82.09	0.02
1748425048880.000	57.06	-76.46	0.03
1748425048895.000	58.97	-79.23	0.02
1748425048911.000	56.91	-76.85	0.03
1748425048927.000	59.84	-80.37	0.03
1748425048943.000	58.74	-78.96	0.02
1748425048958.000	54.16	-74.07	0.02
1748425048974.000	48.39	-68.17	0.03
1748425048989.000	43.17	-62.93	0.02
1748425049005.000	50.04	-71.01	0.02
1748425049021.000	61.40	-82.94	0.02
1748425049037.000	65.30	-86.25	0.02
1748425049053.000	78.19	-100.31	0.02
1748425049069.000	86.41	-108.43	0.02
1748425049084.000	86.16	-107.70	0.02
1748425049101.000	86.68	-108.66	0.02
1748425049117.000	87.88	-110.30	0.02
1748425049133.000	82.94	-105.08	0.02
1748425049149.000	80.46	-103.15	0.02
1748425049164.000	69.03	-91.02	0.02
1748425049180.000	58.30	-80.44	0.02
1748425049195.000	53.79	-76.59	0.03
1748425049211.000	57.46	-81.15	0.02
1748425049227.000	48.96	-71.43	0.02
1748425049246.000	49.02	-72.34	0.02
1748425049262.000	53.05	-76.79	0.05
1748425049278.000	54.11	-77.60	0.02
1748425049294.000	47.71	-70.42	0.03
1748425049311.000	47.97	-71.33	0.02
1748425049327.000	56.98	-81.29	0.03
1748425049343.000	50.97	-73.78	0.02
1748425049358.000	52.20	-75.76	0.03
1748425049375.000	59.75	-84.04	0.02
1748425049390.000	65.59	-89.86	0.03
1748425049406.000	64.41	-88.13	0.02
1748425049421.000	70.37	-95.00	0.03
1748425049437.000	77.47	-102.50	0.03
